Dags reiknings,Magn,Upphæð m/VSK,ID,Discription
2019-11-30,1.0,845,8,chickencurry
2019-11-30,1.0,845,76,túmerikskot 
2019-11-30,1.0,595,67,spicy vegan lítil
2019-11-30,1.0,1195,67,spicy vegan lítil
2019-11-30,1.0,1195,57,pescado
2019-11-30,1.0,1195,8,chickencurry
2019-11-30,1.0,1690,8,chickencurry
2019-11-30,1.0,845,8,chickencurry
2019-11-30,1.0,595,67,spicy vegan lítil
2019-11-30,1.0,595,67,spicy vegan lítil
2019-11-30,1.0,845,8,chickencurry
2019-11-30,1.0,1195,61,próteinduft
2019-11-30,1.0,1195,72,toppur ferstórju 
2019-11-30,1.0,1195,8,chickencurry
2019-11-30,1.0,1195,8,chickencurry
2019-11-30,1.0,1195,61,próteinduft
2019-11-30,1.0,995,19,good times lítil
2019-11-30,1.0,220,6,chickencado
2019-11-30,1.0,995,7,chickencado lítil
2019-11-30,1.0,895,9,chickencurry lítil
2019-11-30,1.0,995,61,próteinduft
2019-11-30,1.0,995,64,spicy tuna
2019-11-30,1.0,1050,64,spicy tuna
2019-11-30,1.0,595,61,próteinduft
2019-11-30,1.0,595,61,próteinduft
2019-11-30,1.0,845,72,toppur ferstórju 
2019-11-30,1.0,845,72,toppur ferstórju 
2019-11-30,1.0,20,50,mozzato lítil
2019-11-30,1.0,845,65,spicy tuna lítil
2019-11-30,1.0,845,6,chickencado
2019-11-30,1.0,595,57,pescado
2019-11-30,1.0,595,61,próteinduft
2019-11-30,1.0,300,12,dazed
2019-11-30,1.0,1690,83,ávextir grænmeti
2019-11-30,1.0,1190,36,kaffi 
2019-11-30,1.0,1190,61,próteinduft
2019-11-30,1.0,995,61,próteinduft
2019-11-30,1.0,995,7,chickencado lítil
2019-11-30,1.0,1190,61,próteinduft
2019-11-30,1.0,990,62,spicy chicken
2019-11-30,1.0,1050,73,toppur kolsýrt vatn 
2019-11-30,1.0,1195,34,jj 
2019-11-30,1.0,1195,63,spicy chicken lítil
2019-11-30,1.0,990,35,jj lítil
2019-11-30,1.0,1690,63,spicy chicken lítil
2019-11-30,1.0,995,66,spicy vegan
2019-11-30,1.0,995,67,spicy vegan lítil
2019-11-30,1.0,595,67,spicy vegan lítil
2019-11-30,1.0,595,67,spicy vegan lítil
2019-11-30,1.0,845,65,spicy tuna lítil
2019-11-30,1.0,845,8,chickencurry
2019-11-30,1.0,595,34,jj 
2019-11-30,1.0,1690,6,chickencado
2019-11-30,1.0,845,8,chickencurry
2019-11-30,1.0,595,61,próteinduft
2019-11-30,1.0,845,65,spicy tuna lítil
2019-11-30,1.0,149,6,chickencado
2019-11-30,1.0,1076,8,chickencurry
2019-11-30,1.0,1076,61,próteinduft
2019-11-30,1.0,1690,6,chickencado
2019-11-30,1.0,845,72,toppur ferstórju 
2019-11-30,1.0,845,72,toppur ferstórju 
2019-11-30,1.0,595,67,spicy vegan lítil
2019-11-30,1.0,845,72,toppur ferstórju 
2019-11-30,1.0,595,67,spicy vegan lítil
2019-11-30,1.0,845,72,toppur ferstórju 
2019-11-30,1.0,595,61,próteinduft
2019-11-30,1.0,845,72,toppur ferstórju 
2019-11-30,1.0,595,67,spicy vegan lítil
2019-11-30,1.0,845,72,toppur ferstórju 
2019-11-30,1.0,1195,61,próteinduft
2019-11-30,1.0,1195,8,chickencurry
2019-11-30,1.0,1195,34,jj 
2019-11-30,1.0,1195,34,jj 
2019-11-30,1.0,1195,8,chickencurry
2019-11-30,1.0,1195,8,chickencurry
2019-11-30,1.0,1190,34,jj 
2019-11-30,1.0,1190,34,jj 
2019-11-30,1.0,1690,8,chickencurry
2019-11-30,1.0,1690,8,chickencurry
2019-11-30,1.0,20,50,mozzato lítil
2019-11-30,1.0,795,57,pescado
2019-11-30,1.0,795,63,spicy chicken lítil
2019-11-30,1.0,20,50,mozzato lítil
2019-11-30,1.0,1690,72,toppur ferstórju 
2019-11-30,1.0,795,57,pescado
