Date,Mean Temp (°C) 2,High Temp (°C) 3,Low Temp (°C) 4,Precipitation (mm),Snow Depth,snjóhula (0-4),Sunlight Hours (klst),Mean Wind (m/s),Max Wind (m/s),Gust (m/s)
2019-11-01,2.5,5.8,-1.3,0.1,0,0,5.4,1.8,3.5,5.9
2019-11-02,3.1,4.7,0.5,0,0,0,0,2.9,5.4,8.3
2019-11-03,3.9,5.5,2.8,0,0,0,0,3.4,7.5,13.6
2019-11-04,2.4,4.3,1.4,1.2,0,0,1.2,2.3,5.6,8.8
2019-11-05,0.4,2.8,-0.5,4.3,0,0,3.1,3,4.9,7.4
2019-11-06,1.4,2.7,-0.5,0,0,0,4,3.5,4.8,7.2
2019-11-07,2.7,4.1,0.7,0.1,0,0,0,2.9,4.2,7
2019-11-08,3.5,5.1,1.7,1.1,0,0,0,7.7,10.6,20.6
2019-11-09,3.9,5,2,8.1,0,0,2.8,4.1,9.9,20.4
2019-11-10,5.8,7.2,3.2,0.9,0,0,0,8.2,12.5,23.4
2019-11-11,4.1,6.7,1.1,14.4,0,0,0,4.1,12.2,21
2019-11-12,2.7,4.6,2.3,13.4,0,0,0,3.5,5.6,9.1
2019-11-13,0.5,3.2,-0.8,1.9,0,0,5.5,1.2,5.5,8.9
2019-11-14,-1.1,2.3,-4.2,0,0,0,4.2,1.7,6.1,9.9
2019-11-15,3.1,5.7,-2.2,8.9,0,0,0,5.1,12.6,21.5
2019-11-16,1.7,4.4,-0.1,8.7,0,2,1,3,7.8,13.5
2019-11-17,0.1,3.7,-1.5,3.3,0,2,3.3,2.8,5,8.1
2019-11-18,3,4.3,-1.6,0.1,3,4,0,7.6,12.7,23.2
2019-11-19,4.9,6,3.7,1.3,0,0,0,7.8,11.6,19.5
2019-11-20,4.3,5.5,3.6,0.7,0,0,2.4,3.8,6.8,11.3
2019-11-21,5.6,7.1,2.7,0.1,0,0,0,3.7,7.2,11.5
2019-11-22,6.2,7.3,4.8,1.8,0,0,0.7,2.2,5.6,9.4
2019-11-23,5.1,7,4.5,0.6,0,0,0,1.6,3.5,5.9
2019-11-24,2,4.8,-0.4,0,0,0,1.8,0.6,3.4,5.9
2019-11-25,0.9,3.7,-0.6,0,0,0,4,1,3.9,5.9
2019-11-26,-0.4,2.8,-1.5,0,0,0,4.7,1.2,2.7,4
2019-11-27,-2.8,0,-4.3,0,0,0,3.5,1,3,4.9
2019-11-28,-1,1.6,-4.8,0,0,0,0.6,1.4,3.6,5
2019-11-29,0.2,1.4,-0.9,1.7,0,0,0,1.3,2.8,4.3
2019-11-30,2.1,3.4,-0.5,0.4,0,0,1,1.7,3.4,5.4
2019-12-01,4.8,5.8,2.3,1.9,0,0,0,3.3,7.4,12.2
2019-12-02,8.4,10,5.6,1.4,0,0,0,6.8,11.4,18.7
2019-12-03,5.4,9.8,3.8,7.8,0,0,0,5.3,10.1,16.2
2019-12-04,-0.7,4.1,-2.1,7.2,4,4,0,3.2,8.8,13.9
2019-12-05,-2.5,2.2,-4.6,4.7,8,4,2.3,1.4,7.8,13.8
2019-12-06,-2.5,0.2,-5.6,0,5,4,2.5,2.6,5.6,10.4
2019-12-07,-1.2,0.9,-5.9,0,6,4,0,4.5,8.5,15.6
2019-12-08,-1.3,3.5,-6,0,5,4,3.7,2.8,8.5,13
2019-12-09,0,1.5,-3.9,1.1,0,2,0,4,8,14.6
2019-12-10,-0.6,1.8,-1.9,7.1,0,2,0,6.8,13.6,26
2019-12-11,-1.6,-0.5,-2.6,1.6,10,4,0,7.4,14.2,23.1
2019-12-12,-2.9,-0.2,-5.3,0,11,4,3.3,3.6,6.7,12.9
2019-12-13,-6.8,-1.6,-10.8,0,9,4,0.6,3.2,5.7,9.5
2019-12-14,-6.7,-5.3,-10.2,0,10,4,3,2.5,6.3,9.8
2019-12-15,-1.8,1.3,-10,0,10,4,2.1,2,6.3,11
2019-12-16,-0.1,4.5,-3.5,0,9,4,0.2,2.8,6.5,12
2019-12-17,-0.3,1.4,-2.5,0,10,4,2.9,4.2,7.4,13
2019-12-18,-0.5,1.5,-3.5,0,9,4,1.2,2.8,5.7,10.4
2019-12-19,0.5,1.7,-1.9,0,9,4,0.8,2.8,5.7,12.1
2019-12-20,3,4.8,0.1,0.2,9,4,0,3.5,8.4,15.7
2019-12-21,2.6,4.5,-0.3,0,8,4,0,3.8,8,18.1
2019-12-22,1,2.3,-0.1,0,8,4,0,3.2,9.1,18.4
2019-12-23,0.4,2.8,-0.8,0,8,4,0,0.7,1.8,2.5
2019-12-24,0.6,1.2,-0.4,0.6,9,4,0,1,4.9,8.6
2019-12-25,0.2,2.4,-0.2,0.2,9,4,0,2.6,4.7,7.8
2019-12-26,2.4,3.9,-2.8,0.1,9,4,0,5.1,8.2,15.1
2019-12-27,5.3,7,3,10.6,0,0,0,3.7,8,13.4
2019-12-28,3.6,5.7,1.7,8.8,0,0,0,2.5,4.6,7.9
2019-12-29,3.1,5.3,2.1,11.2,0,0,0.5,3.7,9.7,15.1
2019-12-30,1.6,2.6,-0.6,0.1,0,0,0,2.3,5.5,9.6
2019-12-31,5.4,7.3,1.4,7.3,0,0,0,5,9,15.6
2020-01-01,1.3,6.4,0.9,8.9,0,0,0,6.4,8.8,14.9
2020-01-02,-3,1.1,-5.3,5.3,2,4,0,5,11.5,19.3
2020-01-03,-6.3,-2.9,-9.6,6.6,10,4,0,3.5,8.7,15
2020-01-04,1.8,5.9,-9.6,1.8,6,4,0,7.2,14.1,24.4
2020-01-05,2.9,5,1.1,14.6,0,2,0.1,5.6,12.5,22.8
2020-01-06,2.3,4.8,1.2,7.3,0,2,0,4.5,8.4,14.6
2020-01-07,0.2,3.8,-1.3,1.6,0,2,0,9.8,16.9,26.1
2020-01-08,-0.8,0.3,-3.7,5.2,0,2,0,9.5,17.2,27.2
2020-01-09,-2.3,0.8,-4.3,1.1,0,2,0,8.8,13.7,23.2
2020-01-10,1.9,4.7,-3.9,5.7,8,4,0,7.1,12.8,23.4
2020-01-11,-0.9,4.8,-3.3,7.1,0,2,0,6.3,13.6,22.9
2020-01-12,-2.7,-0.4,-5.2,2.1,3,4,0,6.4,9.7,17.9
2020-01-13,0.2,1.6,-2.6,8.3,9,4,0,6,10.8,18.9
2020-01-14,1.6,2.6,0.3,0.1,7,4,0,7.1,13.6,23.3
2020-01-15,0.9,2.4,-0.7,0,6,4,2.6,3.2,11.8,22.5
2020-01-16,2.3,3.3,-0.2,0,5,4,0,3.5,7.4,12.3
2020-01-17,-0.5,2.2,-1.8,2,6,4,2.5,2,4.9,9.3
2020-01-18,-0.3,-0.4,-2.8,2,8,4,0,3.3,10.6,16.6
2020-01-19,5.6,8.2,-0.7,12.1,0,2,0,9.2,14,25.2
2020-01-20,1.1,5.8,-0.9,4.1,0,2,0.1,8.2,12.8,23.1
2020-01-21,2.6,3.3,-0.5,2.9,0,2,0,4,7.9,14
2020-01-22,4.2,8.5,1.1,5.9,0,0,0.7,8.6,11.7,19.9
2020-01-23,-0.9,2.4,-2.8,7,0,2,0.2,12.3,16.9,30.8
